"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.753985422028725,0.258946183243485,0.284336104167296,0.179606628360805,5333.75821353222,0,0.005,0.1
"2",0.677345147101445,0.249244680141748,0.29305993663321,0.159074518667445,3936.1796138881,0,0.005,0.25
"3",0.712881787388216,0.235932449936124,0.289831124840309,0.135932449936124,4480.43870397185,0,0.005,0.4
"4",0.752637497028327,0.244765691605797,0.225640492787549,0.155321728950736,7583.78418547357,0,0.015,0.1
"5",0.719996864595789,0.239998208340451,0.300004479148872,0.140001791659549,4551.8820388721,0,0.015,0.25
"6",0.720055663363174,0.2400503761572,0.30008104536349,0.140056149460313,4356.39181972659,0,0.015,0.4
"7",0.72,0.24,0.3,0.14,9144.39387794705,0,0.03,0.1
"8",0.72,0.24,0.3,0.14,4475.44739310184,0,0.03,0.25
"9",0.709187067566752,0.233821181466715,0.315447046333211,0.133821181466716,3896.46320175717,0,0.03,0.4
