"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.718750658678235,0.240067749971083,0.302953176935473,0.181233038807986,7872.52448479616,0,0.005,0.1
"2",0.72,0.24,0.3,0.18,4563.65735466745,0,0.005,0.25
"3",0.729884464666866,0.222494730267763,0.332079800429861,0.1629320458967,3272.99696756451,0,0.005,0.4
"4",0.719978700197066,0.240018269946884,0.30006091320878,0.17998782601473,8139.44696995429,0,0.015,0.1
"5",0.719709336465849,0.24024914017213,0.299584766379784,0.180166093448086,4767.41225951574,0,0.015,0.25
"6",0.723537448734518,0.242641917489252,0.309163647652188,0.178276058776657,5135.38523106374,0,0.015,0.4
"7",0.697011204369106,0.232825916293457,0.255808474876867,0.218582086500481,5890.78960586709,0,0.03,0.1
"8",0.65,0.236355699511235,0.318595391152094,0.216389832826235,4632.91219263951,0,0.03,0.25
"9",0.683039397414487,0.227457895951232,0.326853722132418,0.160995958802043,3555.91456082645,0,0.03,0.4
