"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.743164264921688,0.252778318110536,0.269625986932689,0.154204616987509,6844.24817813315,0,0.005,0.1
"2",0.705459066212788,0.25297725160193,0.278965930668214,0.131392093366765,4784.99080119882,0,0.005,0.25
"3",0.715018583193296,0.237153476110455,0.307116309723863,0.137153476110455,3639.61235647343,0,0.005,0.4
"4",0.65,0.251829981606132,0.27259981314349,0.179469678986436,4495.09985220026,0,0.015,0.1
"5",0.716829657354339,0.241188698502374,0.277348803846192,0.140119573971303,4735.7677781664,0,0.015,0.25
"6",0.722474354847069,0.236284120646494,0.314182187254021,0.138677321751119,3613.95479420163,0,0.015,0.4
"7",0.720575759612939,0.239730587403169,0.299367179113444,0.139738723169125,10037.4985259287,0,0.03,0.1
"8",0.722455209177354,0.239086131570871,0.291935770205008,0.14237556791328,4568.31062892066,0,0.03,0.25
"9",0.726849927395013,0.235940504272311,0.310843180684853,0.139479695451282,3676.34171279827,0,0.03,0.4
