,mu_d,sigma,tau_nd,theta,chisq,conv,k,l
1,0.147548187,0.546935234,0.306129532,0.323677719,5065.648936,0,0.001,0.1
2,0.150465261,0.550581539,0.301163,0.319302153,4373.601539,0,0.001,0.25
3,0.148450057,0.548000799,0.294950868,0.317061664,4164.1015,0,0.001,0.4
4,0.141688039,0.560389951,0.279220097,0.332467942,4360.006779,0,0.004,0.1
5,0.149722595,0.550346756,0.300693511,0.319583893,4353.030213,0,0.004,0.25
6,0.166845351,0.560106723,0.320096783,0.304798402,4055.753412,0,0.004,0.4
7,0.149988888,0.54998549,0.300029627,0.320017486,5026.452585,0,0.008,0.1
8,0.159229678,0.586140354,0.349662683,0.356083483,4172.899905,0,0.008,0.25
9,0.149674211,0.550407236,0.299185527,0.320488684,4210.506984,0,0.008,0.4
