"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.755964837911908,0.266973628433931,0.344956047389885,0.157982418955954,4565.05211420352,0,0.015,0.1
"2",0.731597564618444,0.233583248172259,0.334319366139667,0.168300967423804,3832.69065271153,0,0.015,0.25
"3",0.705432369673397,0.252486540279946,0.320810900466576,0.13167563981337,5846.38783612449,0,0.015,0.4
"4",0.72,0.24,0.3,0.14,4832.75353106056,0,0.025,0.1
"5",0.701741930077292,0.229555591728406,0.325962145779031,0.150307299432752,3842.89667738226,0,0.025,0.25
"6",0.681882032197307,0.217128292321611,0.354546820390395,0.118392358537144,3977.27191979788,0,0.025,0.4
"7",0.720127309877948,0.239936345061018,0.299840862652598,0.140063654938975,5073.00368312225,0,0.04,0.1
"8",0.706005352746874,0.229388999681368,0.323367734300171,0.12904771891051,4148.42043028657,0,0.04,0.25
"9",0.765070650248425,0.217464674875787,0.356338312810531,0.117464674875787,4013.3149955784,0,0.04,0.4
