"subj","condition","countFix_aoi","N","n_target","n_distractor","n_dud","p_target","p_distractor","p_dud","dur_target","dur_distractor","dur_dud"
"sub01",0.7,1,207,81,81,45,0.391304347826087,0.391304347826087,0.217391304347826,0.147937582745389,0.138373351859987,0.144998917868361
"sub01",0.7,2,70,31,28,11,0.442857142857143,0.4,0.157142857142857,0.126344635549392,0.128870360636418,0.105302081739699
"sub01",0.7,3,15,5,8,2,0.333333333333333,0.533333333333333,0.133333333333333,0.114998379861936,0.154176237381762,0.158334400039166
"sub01",0.7,4,4,2,0,2,0.5,0,0.5,0.141665049945004,0,0.0499975999118761
"sub01",0.7,5,1,0,1,0,0,1,0,0,0.1333244999405,0
"sub01",0.85,1,205,80,69,56,0.390243902439024,0.336585365853659,0.273170731707317,0.159787168720504,0.146131753600945,0.139134500030195
"sub01",0.85,2,71,26,31,14,0.366197183098592,0.436619718309859,0.197183098591549,0.140702896151477,0.167202409732366,0.126189414311999
"sub01",0.85,3,20,7,7,6,0.35,0.35,0.3,0.202377971361524,0.160714628540778,0.148617616621777
"sub01",0.85,4,4,2,0,2,0.5,0,0.5,0.166658550268039,0,0.158316749846563
"sub01",0.85,5,2,0,0,2,0,0,1,0,0,0.129183849785477
"sub01",0.95,1,209,85,77,47,0.406698564593301,0.368421052631579,0.22488038277512,0.149507151796099,0.149136010372963,0.158328312721619
"sub01",0.95,2,86,28,27,31,0.325581395348837,0.313953488372093,0.36046511627907,0.141077489276151,0.154627177734963,0.133064187086758
"sub01",0.95,3,23,5,7,11,0.217391304347826,0.304347826086957,0.478260869565217,0.233337219897657,0.205955214299528,0.226522736378353
"sub01",0.95,4,6,3,2,1,0.5,0.333333333333333,0.166666666666667,0.0750109667424113,0.283342650043778,0.133327400078997
"sub01",0.95,5,1,0,0,1,0,0,1,0,0,0.233318199869245
"sub02",0,1,263,131,132,0,0.498098859315589,0.501901140684411,0,0.208460638948311,0.20296404847459,0
"sub02",0,2,216,108,108,0,0.5,0.5,0,0.195832008299745,0.220061506504728,0
"sub02",0,3,77,36,41,0,0.467532467532468,0.532467532467532,0,0.170362302742433,0.18048724883077,0
"sub02",0,4,16,6,10,0,0.375,0.625,0,0.144437766595123,0.159164210013114,0
"sub02",0,5,3,1,2,0,0.333333333333333,0.666666666666667,0,0.266660499852151,0.204173250356689,0
"sub02",0,6,1,1,0,0,1,0,0,0.183299399912357,0,0
"sub02",0.3,1,271,133,110,28,0.490774907749078,0.40590405904059,0.103321033210332,0.20181709928333,0.191894998213022,0.150597428578684
"sub02",0.3,2,211,104,104,3,0.492890995260663,0.492890995260663,0.014218009478673,0.19734945289719,0.202001658677965,0.161106799961999
"sub02",0.3,3,75,23,50,2,0.306666666666667,0.666666666666667,0.0266666666666667,0.169925947865957,0.172496354067698,0.0749966003932059
"sub02",0.3,4,14,8,5,1,0.571428571428571,0.357142857142857,0.0714285714285714,0.235417100106133,0.196668879780918,0.0916665997356176
"sub02",0.3,5,1,1,0,0,1,0,0,0.241684599779546,0,0
"sub02",0.5,1,265,118,99,48,0.445283018867925,0.373584905660377,0.181132075471698,0.192724785613591,0.191748583835145,0.16562113542265
"sub02",0.5,2,217,106,109,2,0.488479262672811,0.502304147465438,0.00921658986175115,0.18215088396913,0.200452830270787,0.137508500018157
"sub02",0.5,3,88,28,47,13,0.318181818181818,0.534090909090909,0.147727272727273,0.136604164327894,0.204077019143176,0.135904215312061
"sub02",0.5,4,19,16,3,0,0.842105263157895,0.157894736842105,0,0.175517249925179,0.111100166570395,0
"sub02",0.5,5,4,1,3,0,0.25,0.75,0,0.258382000029087,0.172206899927308,0
"sub02",0.7,1,261,112,95,54,0.42911877394636,0.363984674329502,0.206896551724138,0.192035883935335,0.191399994752321,0.173297531497492
"sub02",0.7,2,203,98,93,12,0.482758620689655,0.458128078817734,0.0591133004926108,0.187237674539092,0.19103395055619,0.144442791623684
"sub02",0.7,3,96,25,37,34,0.260416666666667,0.385416666666667,0.354166666666667,0.174330231966451,0.189414883781275,0.136763682328712
"sub02",0.7,4,15,6,4,5,0.4,0.266666666666667,0.333333333333333,0.143059883499518,0.122909774887376,0.178338079852983
"sub02",0.7,5,3,1,2,0,0.333333333333333,0.666666666666667,0,0.283339799847454,0.0791702996939421,0
"sub02",0.7,6,1,0,0,1,0,0,1,0,0,0.14167240075767
"sub02",0.7,7,1,0,1,0,0,1,0,0,0.0249801995232701,0
"sub02",0.85,1,256,108,91,57,0.421875,0.35546875,0.22265625,0.201694349083549,0.19578399007966,0.183620221087742
"sub02",0.85,2,217,96,76,45,0.442396313364055,0.350230414746544,0.207373271889401,0.184281786467182,0.179821705261834,0.178328133369279
"sub02",0.85,3,99,29,36,34,0.292929292929293,0.363636363636364,0.343434343434343,0.162638800009957,0.157408975071222,0.148281682433341
"sub02",0.85,4,24,6,8,10,0.25,0.333333333333333,0.416666666666667,0.17777621668453,0.16667485004291,0.14667087008711
"sub02",0.85,5,7,3,0,4,0.428571428571429,0,0.571428571428571,0.127774966725459,0,0.162468575057574
"sub02",0.85,6,2,2,0,0,1,0,0,0.120837149908766,0,0
"sub02",0.85,7,1,0,1,0,0,1,0,0,0.449983099475503,0
"sub02",0.85,8,1,1,0,0,1,0,0,0.366681500338018,0,0
"sub02",0.95,1,263,103,84,76,0.391634980988593,0.319391634980989,0.288973384030418,0.194735445631487,0.197714066676175,0.1830019868365
"sub02",0.95,2,207,85,55,67,0.410628019323671,0.265700483091787,0.323671497584541,0.175486601138597,0.172577569011429,0.169898549306776
"sub02",0.95,3,96,21,38,37,0.21875,0.395833333333333,0.385416666666667,0.18690187617072,0.173460613219312,0.164636945956059
"sub02",0.95,4,28,14,9,5,0.5,0.321428571428571,0.178571428571429,0.182136178598739,0.125930611147649,0.110005840100348
"sub02",0.95,5,7,3,2,2,0.428571428571429,0.285714285714286,0.285714285714286,0.191651800026496,0.19168095011264,0.170836450066418
"sub03",0,1,277,167,110,0,0.602888086642599,0.397111913357401,0,0.183828691628477,0.160673736285588,0
"sub03",0,2,191,89,102,0,0.465968586387435,0.534031413612565,0,0.198123397802662,0.179329651001585,0
"sub03",0,3,40,22,18,0,0.55,0.45,0,0.167042772708969,0.164820333296019,0
"sub03",0,4,6,4,2,0,0.666666666666667,0.333333333333333,0,0.183325050049461,0.124989000149071,0
"sub03",0,5,1,1,0,0,1,0,0,0.225005799438804,0,0
"sub03",0.3,1,283,149,116,18,0.526501766784452,0.409893992932862,0.0636042402826855,0.176056585930938,0.154954927568003,0.136576822027564
"sub03",0.3,2,191,89,102,0,0.465968586387435,0.534031413612565,0,0.168254910157261,0.180227816693813,0
