"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.708223601916579,0.236782107491024,0.323046396092102,0.18,2382.0715503626,0,0.005,0.1
"2",0.733291090923636,0.233629006558535,0.315760020816221,0.133308760491031,2077.83695263754,0,0.005,0.25
"3",0.753885773489279,0.223118786570091,0.34229102134865,0.123153129099228,1697.11302881857,0,0.005,0.4
"4",0.70949912384586,0.242666882661577,0.303792042666087,0.154063700365373,3529.14900057992,0,0.015,0.1
"5",0.719620342537479,0.240325777864165,0.30055137494105,0.139777889296017,2532.14404070406,0,0.015,0.25
"6",0.689853643731625,0.220267549836085,0.341886052658225,0.123521746967253,1571.89205310739,0,0.015,0.4
"7",0.71999993462715,0.240000056033872,0.299999906610214,0.139999962644086,4585.0165055803,0,0.03,0.1
"8",0.684939355822701,0.225032066495431,0.31714197050303,0.153947857296764,1622.41862767111,0,0.03,0.25
"9",0.749357042310951,0.220363157679602,0.35358446639401,0.145559247464316,1648.16628872941,0,0.03,0.4
