"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.732581375740162,0.249440559466742,0.31573700284429,0.146289825909145,4046.79421725741,0,0.005,0.1
"2",0.728525734453117,0.23085092264226,0.312186551559466,0.147588395274426,1814.98922321768,0,0.005,0.25
"3",0.749631649674592,0.226160975402793,0.336634254000263,0.125907673370712,1909.2482413902,0,0.005,0.4
"4",0.73030500447042,0.249727244505496,0.35703072644901,0.18,3177.34037396115,0,0.015,0.1
"5",0.732240169543472,0.232477493468793,0.318695780220842,0.146528270626297,1883.59520538667,0,0.015,0.25
"6",0.692574039642362,0.221985723136704,0.343768855962739,0.112815066988413,1805.74225994301,0,0.015,0.4
"7",0.696120287388905,0.232188270497319,0.293929745070062,0.179199434736502,2400.81940147437,0,0.03,0.1
"8",0.742798540045979,0.229697247588089,0.339728432833656,0.170977811147163,1850.94613295122,0,0.03,0.25
"9",0.690103389731345,0.22259612591248,0.34219275096122,0.12319259593804,1881.18459176706,0,0.03,0.4
