"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.700867396449883,0.241059449601253,0.293488433875597,0.179542221500496,2471.61279376974,0,0.005,0.1
"2",0.71517874748781,0.237131702510627,0.308837218257589,0.136369643758916,2218.37787097077,0,0.005,0.25
"3",0.749252960205662,0.225373519897169,0.336566200257078,0.125373519897169,1994.7000336286,0,0.005,0.4
"4",0.687217406204673,0.2488419500091,0.332082201514435,0.179999942696178,2790.39265505969,0,0.015,0.1
"5",0.699922377515431,0.229656480563496,0.327014989908405,0.151401412987227,2104.37830351045,0,0.015,0.25
"6",0.689910049372202,0.223725163668212,0.341213621182995,0.125283831039472,1845.42033335551,0,0.015,0.4
"7",0.711620244955978,0.232997662601652,0.314558540609333,0.18,3028.53201260175,0,0.03,0.1
"8",0.73275098122832,0.233624952116485,0.315937622120681,0.146372976375015,2115.53786959715,0,0.03,0.25
"9",0.731595048813056,0.231385678417494,0.35237682521734,0.119435563242152,1995.47957920864,0,0.03,0.4
