"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.701929108026152,0.244683610872526,0.298694329127005,0.18,2826.68305822784,0,0.005,0.1
"2",0.695147078294255,0.242284742575841,0.349377319482792,0.146071923743684,2020.67299995414,0,0.005,0.25
"3",0.749863035676735,0.223529528532628,0.340617798453382,0.126252527665615,1801.00704199816,0,0.005,0.4
"4",0.720037092907674,0.239982603463317,0.299960419580019,0.140006663867294,4502.03006656607,0,0.015,0.1
"5",0.743017904210334,0.228491048232563,0.328772398989667,0.151508994666573,1947.44374003623,0,0.015,0.25
"6",0.68755595581842,0.221396187626507,0.34408945509196,0.1184725131499,1749.69057388769,0,0.015,0.4
"7",0.716049529486275,0.229223642610544,0.29740457187378,0.179850041332296,2643.96459394429,0,0.03,0.1
"8",0.672173233213255,0.219712648391275,0.325604241685581,0.18,1840.76772285154,0,0.03,0.25
"9",0.726921586956661,0.217983893535793,0.356530468617327,0.136744412658525,1703.88132246002,0,0.03,0.4
