"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.65358744283091,0.222094607183652,0.242746827959167,0.177950032668052,2693.10920443252,0,0.005,0.1
"2",0.733227763055625,0.229434635398119,0.317414868871658,0.151742330774069,2106.14530251904,0,0.005,0.25
"3",0.757973021486041,0.221013219342253,0.347466678931205,0.15898698564019,2132.97834785473,0,0.005,0.4
"4",0.705599497536158,0.23033154585598,0.312207166359867,0.18,3029.04001709594,0,0.015,0.1
"5",0.6988185901913,0.222428235362945,0.300882250904569,0.141959747740167,2049.00417381852,0,0.015,0.25
"6",0.72063252668689,0.215224163628313,0.322319262159577,0.119613121028421,1876.10789399448,0,0.015,0.4
"7",0.719745715572237,0.240218750125547,0.299627663238633,0.140160692784939,5584.85543822588,0,0.03,0.1
"8",0.672626307089138,0.212052445157506,0.300890020219877,0.167756400483451,1976.58332446811,0,0.03,0.25
"9",0.799682773044408,0.205150036640508,0.380834898335326,0.179945426052529,3486.32766314584,0,0.03,0.4
