"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.652578953822789,0.225910735011852,0.244290436221234,0.179994819605725,2328.50927830268,0,0.005,0.1
"2",0.727644035463871,0.236177982267833,0.290444955669515,0.143822017731787,1917.00762020417,0,0.005,0.25
"3",0.725139804543932,0.229273041008081,0.332925263895883,0.127993174451497,1479.39618612723,0,0.005,0.4
"4",0.727122488871693,0.241053437950461,0.295961817546093,0.146599257349432,4404.26191868904,0,0.015,0.1
"5",0.692288382425986,0.224164789957706,0.260411974894266,0.155835210042294,1801.0660000004,0,0.015,0.25
"6",0.746348671897122,0.231347017847558,0.336501033802713,0.125946962010159,1565.04726803697,0,0.015,0.4
"7",0.693472853825062,0.239270207589643,0.278599033904011,0.18,2602.34996318845,0,0.03,0.1
"8",0.718080306362248,0.238392088533013,0.303426723175884,0.140767951517183,2246.16171533391,0,0.03,0.25
"9",0.756336328282114,0.223277771143353,0.340668178221584,0.129517574637014,1613.31447660187,0,0.03,0.4
