"","mu_d","sigma","tau_nd","theta","chisq","conv","k","l"
"1",0.719998002293706,0.239998858453547,0.299997146133865,0.139998858453554,5445.99227362237,0,0.005,0.1
"2",0.716000548204516,0.237731140050933,0.305668982153492,0.142281141913745,2399.8605363705,0,0.005,0.25
"3",0.706673219807188,0.230264382177219,0.327688704261509,0.111337813666719,2074.87179728437,0,0.005,0.4
"4",0.689337523281533,0.241243044686239,0.297168439002025,0.154712486471539,4132.22005941712,0,0.015,0.1
"5",0.709832384704753,0.239153370779067,0.306307065794205,0.141962433494327,2507.29171055409,0,0.015,0.25
"6",0.727290518103954,0.223844146592752,0.343826172168512,0.147511875589405,1991.61183649337,0,0.015,0.4
"7",0.709162084906758,0.249198408762406,0.313919734494412,0.18,3590.3816054742,0,0.03,0.1
"8",0.713527832676394,0.234681026308485,0.317343186454063,0.157543345955195,2409.1474721128,0,0.03,0.25
"9",0.752908834846625,0.226970787400354,0.337958477373469,0.127199276150688,2091.36239423673,0,0.03,0.4
